height,prop_time_lower_bound,node_count,size
1788829,0,1,103
1788830,0,1,81988
1788831,0,1,94
1788832,0,1,4353
1788833,0,1,103
1788834,0,1,94
1788835,0,1,2696
1788836,0,1,2722
1788837,0,1,94
1788838,0,1,2753
1788839,0,1,13211
1788840,0,1,4501
1788841,0,1,63474
1788842,0,1,26860
1788843,0,1,11125
1788844,0,1,48715
1788845,0,1,103
1788846,0,1,12768
1788847,0,1,94
1788848,0,1,13194
1788849,0,1,94
1788850,0,1,2705
1788851,0,1,14900
1788852,0,1,103
1788853,0,1,2693
1788854,1187,2,4491
1788855,0,1,17608
1788856,0,1,103
